S	Sl	Su
789	732.2239953	845.8272373
790	733.3896649	845.8272373
791	734.5649941	845.8272373
792	735.7519276	845.980271
793	736.953164	847.1333178
794	738.1726416	848.2938858
795	739.4165221	849.4632237
796	740.6954834	850.6429687
797	742.0314159	851.8353398
798	743.4877679	853.0434765
799	745.2305057	854.2720823
800	745.2305057	855.5287983
801	745.2305057	856.8276726
802	745.2305057	858.2008373
803	745.6457984	859.7766295
804	746.8072477	860.942319
805	747.9775911	860.942319
806	749.1585083	860.942319
807	750.3522834	861.5510248
808	751.5621626	862.7074251
809	752.7930388	863.8718902
810	754.0529316	865.0458318
811	755.3567978	866.2311282
812	756.7398303	867.4303723
813	758.3588544	868.6473244
814	759.3601407	869.8878125
815	759.3601407	871.1617952
816	759.3601407	872.4891906
817	759.3601407	873.924439
818	760.2060526	875.7938834
819	761.3706692	875.7938834
820	762.544759	875.7938834
821	763.7302002	875.9513678
822	764.9295862	877.1030159
823	766.1466772	878.2619748
824	767.3873017	879.4294326
825	768.6614195	880.6069377
826	769.9889509	881.7965738
827	771.424347	883.0012613
828	773.2938173	884.2253204
829	773.2938173	885.4756405
830	773.2938173	886.7645213
831	773.2938173	888.1185705
832	773.5878075	889.6267154
833	774.7462226	891.0920218
834	775.9130151	891.0920218
835	777.0896955	891.0920218
836	778.2782905	891.4823093
837	779.4816287	892.6353629
838	780.7038717	893.7959493
839	781.9516042	894.9653204
840	783.2364382	896.1451178
841	784.5829346	897.3375674
842	786.0682123	898.5458197
843	787.650305	899.7745978
844	787.650305	901.0315818
845	787.650305	902.3309124
846	787.650305	903.7050281
847	788.1062429	905.2848591
848	789.265553	906.4341287
849	790.4333978	906.4341287
850	791.6113383	906.4341287
851	792.8014772	906.9939211
852	794.0067654	908.1474922
853	795.2315762	909.3086813
854	796.4829019	910.478765
855	797.7732771	911.6594212
856	799.1300248	912.8529318
857	800.6465048	914.0625384
858	802.0721833	915.2931268
859	802.0721833	916.5527013
860	802.0721833	917.8561824
861	802.0721833	919.2386376
862	802.6044852	920.8556122
863	803.7636728	921.8634706
864	804.9313783	921.8634706
865	806.1091572	921.8634706
866	807.2991038	922.4860174
867	808.5041555	923.6391895
868	809.7286619	924.7999197
869	810.9795693	925.9694672
870	812.2693076	927.1494839
871	813.6248793	928.3422117
872	815.1376375	929.5508274
873	816.5810491	930.7801008
874	816.5810491	932.0378042
875	816.5810491	933.3382993
876	816.5810491	934.7147595
877	817.0825795	936.3045533
878	818.2406324	937.4144766
879	819.4070143	937.4144766
880	820.58322	937.4144766
881	821.7712521	937.9587431
882	822.9739012	939.1106196
883	824.1952631	940.2698554
884	825.4417973	941.4376516
885	826.7248367	942.6155763
886	828.0681315	943.8057425
887	829.5444569	945.0111182
888	831.1740647	946.2361058
889	831.1740647	947.4877546
890	831.1740647	948.7787301
891	831.1740647	950.1367568
892	831.5409311	951.6577644
893	832.6969002	953.0610719
894	833.8608556	953.0610719
895	835.0341852	953.0610719
896	836.2187314	953.4125617
897	837.4170316	954.5623127
898	838.6327518	955.7191026
899	839.8715464	956.8840426
900	841.1430045	958.05857
901	842.4660598	959.2446014
902	843.8909645	960.4447902
903	845.8272373	961.6629989
904	845.8272373	962.9052462
905	845.8272373	964.1818999
906	845.8272373	965.5139914
907	845.980271	966.9609418
908	847.1333178	968.7575669
909	848.2938858	968.7575669
910	849.4632237	968.7575669
911	850.6429687	968.8482187
912	851.8353398	969.9951175
913	853.0434765	971.1486403
914	854.2720823	972.309786
915	855.5287983	973.4798323
916	856.8276726	974.6604588
917	858.2008373	975.8539493
918	859.7766295	977.0635496
919	860.942319	978.294152
920	860.942319	979.5537744
921	860.942319	980.8573701
922	860.942319	982.2401196
923	861.5510248	983.8587368
924	862.7074251	984.8603769
925	863.8718902	984.8603769
926	865.0458318	984.8603769
927	866.2311282	985.4101328
928	867.4303723	986.5597249
929	868.6473244	987.7163379
930	869.8878125	988.8810777
931	871.1617952	990.0553744
932	872.4891906	991.2411333
933	873.924439	992.4409905
934	875.7938834	993.6587785
935	875.7938834	994.9004606
936	875.7938834	996.1762846
937	875.7938834	997.5069534
938	875.9513678	998.9503912
939	877.1030159	1000.76813
940	878.2619748	1000.76813
941	879.4294326	1000.76813
942	880.6069377	1000.808628
943	881.7965738	1001.953792
944	883.0012613	1003.105341
945	884.2253204	1004.26421
946	885.4756405	1005.431589
947	886.7645213	1006.609029
948	888.1185705	1007.798619
949	889.6267154	1009.003285
950	891.0920218	1010.227359
951	891.0920218	1011.477751
952	891.0920218	1012.766812
953	891.0920218	1014.121301
954	891.4823093	1015.631071
955	892.6353629	1017.087769
956	893.7959493	1017.087769
957	894.9653204	1017.087769
958	896.1451178	1017.332363
959	897.3375674	1018.478509
960	898.5458197	1019.63118
961	899.7745978	1020.791348
962	901.0315818	1021.960255
